CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,1,77183.6,3
12347.0,2,7,4310.0,0
12348.0,75,4,1797.24,0
12349.0,19,1,1757.55,0
12350.0,310,1,334.4,1
12352.0,36,8,2506.04,0
12353.0,204,1,89.0,1
12354.0,232,1,1079.4,1
12355.0,214,1,459.4,1
12356.0,23,3,2811.43,0
12357.0,33,1,6207.67,0
12358.0,2,2,1168.06,0
12359.0,58,4,6372.58,0
12360.0,52,3,2662.06,0
12361.0,287,1,189.9,1
12362.0,3,10,5226.23,0
12363.0,110,2,552.0,0
12364.0,8,4,1313.1,0
12365.0,291,2,641.38,1
12367.0,4,1,168.9,0
12370.0,51,4,3545.69,0
12371.0,45,2,1887.96,0
12372.0,72,3,1298.04,0
12373.0,311,1,364.6,1
12374.0,25,1,742.9300000000001,0
12375.0,11,2,457.5,0
12377.0,315,2,1628.12,1
12378.0,130,1,4008.62,0
12379.0,82,2,852.24,0
12380.0,22,4,2724.81,0
12381.0,5,5,1845.31,0
12383.0,185,5,1850.56,1
12384.0,29,2,585.27,0
12386.0,338,2,401.9,1
12388.0,16,6,2780.66,0
12390.0,80,1,549.84,0
12391.0,22,1,460.89,0
12393.0,72,4,1582.6000000000001,0
12394.0,64,2,1272.48,0
12395.0,19,12,3018.63,0
12397.0,36,2,2409.9,0
12398.0,46,1,1635.6599999999999,0
12399.0,119,4,1108.65,0
12401.0,303,1,84.3,1
12402.0,323,1,225.6,1
12403.0,50,1,427.7,0
12405.0,149,1,1710.39,1
12406.0,22,2,3415.3,0
12407.0,50,5,1708.1200000000001,0
12408.0,33,5,2888.55,0
12409.0,79,3,11072.67,0
12410.0,309,2,693.3299999999999,1
12412.0,75,3,1226.88,0
12413.0,67,3,758.1,0
12414.0,217,3,562.41,1
12415.0,24,21,124914.53,2
12417.0,3,9,3649.1,0
12418.0,113,1,668.58,0
12420.0,64,1,600.39,0
12421.0,16,4,807.04,0
12422.0,96,3,803.5600000000001,0
12423.0,1,8,1859.31,0
12424.0,163,2,1760.96,1
12425.0,78,1,777.2,0
12426.0,195,1,582.73,1
12427.0,22,3,825.8,0
12428.0,26,9,7956.46,0
12429.0,9,4,3750.4,0
12430.0,43,1,256.4,0
12431.0,36,15,6487.45,3
12432.0,43,5,5059.32,0
12433.0,1,7,13375.87,0
12434.0,85,2,806.14,0
12435.0,80,2,7829.89,0
12436.0,100,1,509.01,0
12437.0,2,18,4951.41,3
12438.0,14,2,2906.85,0
12441.0,367,1,173.55,1
12442.0,3,1,172.06,0
12444.0,21,5,5005.46,0
12445.0,22,1,133.4,0
12446.0,58,1,1002.3100000000001,0
12447.0,243,1,476.49,1
12448.0,44,1,449.45,0
12449.0,22,4,4067.29,0
12450.0,156,2,197.88,1
12451.0,11,5,9035.52,0
12452.0,17,2,430.57,0
12453.0,134,1,707.09,0
12454.0,56,1,3528.34,0
12455.0,73,6,2466.86,0
12456.0,44,3,3181.04,0
12457.0,66,7,2363.23,0
12458.0,71,2,947.4,0
12461.0,94,2,826.88,0
12462.0,19,2,1189.59,0
12463.0,53,4,1344.78,0
12464.0,10,8,1212.05,0
12465.0,17,2,742.1899999999999,0
12468.0,188,2,729.5400000000001,1
12471.0,2,30,19824.05,3
12472.0,32,7,6572.11,0
12473.0,29,5,3938.5499999999997,0
12474.0,17,18,7375.79,3
12475.0,54,1,723.38,0
12476.0,16,11,6816.42,0
12477.0,23,6,13219.74,0
12478.0,4,1,680.99,0
12479.0,11,1,527.2,0
12480.0,28,4,3281.63,0
12481.0,23,10,5596.32,0
12483.0,17,8,2484.98,0
12484.0,33,6,4541.72,0
12488.0,10,3,1298.66,0
12489.0,336,1,334.93,1
12490.0,5,10,5417.93,0
12491.0,39,1,460.40000000000003,0
12492.0,63,2,263.21000000000004,0
12493.0,166,2,433.74,1
12494.0,16,7,1246.1000000000001,0
12497.0,82,1,1043.1,0
12498.0,21,3,403.70000000000005,0
12500.0,23,11,4257.82,0
12501.0,337,1,2169.39,1
12502.0,96,5,3723.87,0
12504.0,18,2,482.04999999999995,0
12506.0,233,1,73.5,1
12507.0,134,3,1304.81,0
12508.0,26,2,398.27,0
12509.0,284,1,176.5,1
12510.0,143,2,982.5699999999999,0
12512.0,66,2,138.03,0
12513.0,113,1,612.29,0
12514.0,267,1,1017.68,1
12515.0,353,1,383.7,1
12516.0,78,2,1312.06,0
12517.0,28,5,2502.84,0
12518.0,1,5,2056.89,0
12519.0,64,1,340.84,0
12520.0,79,5,2634.26,0
12521.0,143,1,599.68,1
12522.0,39,2,192.72,0
12523.0,19,11,1789.77,0
12524.0,9,8,4485.72,0
12526.0,1,3,1316.66,0
12527.0,82,3,348.71000000000004,0
12528.0,9,6,1933.48,0
12530.0,60,4,1662.28,0
12531.0,15,1,125.22,0
12532.0,30,1,349.83000000000004,0
12534.0,131,1,1089.18,0
12535.0,92,2,716.35,0
12536.0,43,3,12601.830000000002,0
12538.0,29,1,363.95,0
12539.0,22,4,5568.35,0
12540.0,20,17,13400.24,3
12541.0,30,3,981.18,0
12544.0,36,1,372.7,0
12545.0,75,2,1000.39,0
12546.0,47,2,1161.5,0
12547.0,198,2,207.79999999999998,1
12548.0,166,1,95.19999999999999,1
12550.0,79,1,964.83,0
12551.0,358,1,168.0,1
12552.0,39,2,437.82,0
12553.0,8,10,3692.28,0
12556.0,50,2,603.71,0
12557.0,16,5,11990.960000000001,0
12558.0,8,1,269.96,0
12559.0,311,2,561.71,1
12560.0,5,3,2134.01,0
12561.0,303,1,238.85,1
12562.0,8,7,3781.7400000000002,0
12564.0,261,1,456.9,1
12565.0,289,1,145.92,1
12566.0,86,1,351.65,0
12567.0,23,10,9401.28,0
12569.0,2,32,4124.69,3
12571.0,40,2,519.61,0
12572.0,9,2,1020.42,0
12573.0,227,1,160.54000000000002,1
12574.0,316,1,218.45,1
12576.0,36,5,1315.83,0
12577.0,35,3,657.8,0
12578.0,21,2,2794.51,0
12579.0,78,1,440.42,0
12580.0,247,1,415.7,1
12581.0,40,1,197.71,0
12582.0,239,2,511.36,1
12583.0,3,15,7281.38,3
12584.0,4,9,2338.15,0
12585.0,234,2,2040.1,1
12586.0,17,1,196.94000000000003,0
12587.0,8,1,144.0,0
12588.0,39,1,214.89999999999998,0
12589.0,29,2,646.68,0
12590.0,211,2,9864.26,1
12591.0,317,1,452.84999999999997,1
12592.0,92,2,437.6,0
12593.0,109,3,418.09999999999997,0
12594.0,38,10,3338.2200000000003,0
12596.0,51,2,618.27,0
12597.0,19,4,3811.22,0
12598.0,10,8,3023.08,0
12599.0,29,7,1032.58,0
12600.0,29,10,2599.04,0
12601.0,190,5,577.0600000000001,1
12602.0,59,1,153.12,0
12603.0,22,1,739.1999999999999,0
12604.0,79,2,254.18,0
12607.0,60,1,1579.51,0
12609.0,78,3,1126.85,0
12610.0,23,5,2099.54,0
12611.0,52,1,1193.32,0
12612.0,74,1,704.0400000000001,0
12613.0,57,5,3344.38,0
12614.0,278,1,315.6,1
12615.0,2,4,2291.19,0
12616.0,95,2,713.3,0
12617.0,29,1,355.53,0
12618.0,22,1,177.31,0
12619.0,16,9,3641.24,0
12620.0,15,3,1339.41,0
12621.0,2,20,13689.67,3
12622.0,232,1,180.1,1
12623.0,276,1,305.1,1
12624.0,106,2,641.13,0
12625.0,212,2,2683.82,1
12626.0,23,9,6620.48,0
12627.0,11,7,4478.53,0
12628.0,4,3,786.46,0
12630.0,10,2,1270.88,0
12631.0,57,1,640.5,0
12633.0,59,4,2163.98,0
12635.0,90,2,1689.18,0
12637.0,67,8,6021.9,0
12638.0,33,1,671.69,0
12639.0,239,1,486.1,1
12640.0,24,3,1174.58,0
12641.0,115,1,185.9,0
12642.0,25,3,1013.26,0
12643.0,128,6,3344.64,0
12644.0,130,1,477.91,0
12645.0,34,4,1775.18,0
12646.0,5,2,1346.97,0
12647.0,22,12,3722.82,0
12648.0,155,1,318.05,1
12649.0,107,3,623.51,0
12650.0,3,1,314.44,0
12651.0,335,1,114.0,1
12652.0,331,1,919.98,1
12653.0,149,2,2209.85,1
12654.0,11,5,601.98,0
12656.0,17,5,4051.17,0
12657.0,11,4,1643.18,0
12658.0,19,1,686.05,0
12659.0,30,1,91.68,0
12660.0,11,1,245.1,0
12662.0,1,11,3849.78,0
12664.0,8,9,4881.88,0
12665.0,325,1,63.0,1
12667.0,58,1,620.13,0
12668.0,12,4,3807.15,0
12669.0,151,3,2744.0299999999997,1
12670.0,10,5,2996.05,0
12672.0,330,1,225.89999999999998,1
12673.0,5,2,610.52,0
12674.0,39,4,1970.6,0
12676.0,25,6,1331.39,0
12678.0,42,12,17628.46,3
12679.0,59,4,1113.02,0
12680.0,1,4,862.81,0
12681.0,15,22,13787.54,3
12682.0,4,31,12288.22,3
12683.0,4,15,8476.57,3
12684.0,8,7,2283.63,0
12685.0,28,6,2863.08,0
12686.0,372,1,89.14,1
12688.0,114,1,4873.8099999999995,0
12689.0,26,2,1247.61,0
12690.0,206,1,389.01,1
12691.0,28,6,1035.8,0
12693.0,127,4,855.91,0
12694.0,70,2,869.67,0
12695.0,7,4,582.1,0
12697.0,29,3,957.59,0
12700.0,8,4,4939.99,0
12701.0,80,2,797.71,0
12702.0,20,1,219.0,0
12703.0,71,1,283.55,0
12704.0,7,8,2340.84,0
12705.0,15,9,6868.29,0
12707.0,292,1,603.42,1
12708.0,30,10,2712.91,0
12709.0,15,15,9736.52,3
12710.0,97,3,1149.02,0
12712.0,29,13,4396.13,0
12713.0,1,1,848.55,0
12714.0,9,5,4708.86,0
12715.0,106,1,353.86,0
12716.0,4,2,1053.49,0
12717.0,151,2,1030.98,1
12718.0,71,1,238.25,0
12719.0,5,2,644.95,0
12720.0,3,25,5781.73,3
12721.0,32,6,2656.13,0
12722.0,85,4,997.63,0
12723.0,4,5,725.07,0
12724.0,5,4,1031.41,0
12725.0,371,1,427.8,1
12726.0,28,7,2609.1,0
12727.0,11,7,3980.7,0
12728.0,71,4,836.33,0
12729.0,114,1,453.01,0
12731.0,24,12,18895.91,3
12732.0,180,1,236.26000000000002,1
12733.0,234,1,383.95,1
12734.0,353,1,110.39999999999999,1
12735.0,315,2,779.5699999999999,1
12736.0,333,1,234.0,1
12738.0,372,1,155.35,1
12739.0,78,2,1013.04,0
12740.0,64,1,427.6,0
12743.0,134,2,546.43,0
12744.0,52,7,21279.29,3
12747.0,2,11,4196.01,0
12748.0,1,209,33719.73,2
12749.0,4,5,4090.88,0
12750.0,129,1,275.88,0
12752.0,81,1,4366.78,0
12753.0,23,6,21429.39,0
12754.0,236,3,3010.74,1
12755.0,281,2,3811.95,1
12756.0,87,1,112.07999999999998,0
12757.0,16,13,7857.1,3
12758.0,117,2,2791.59,0
12759.0,52,3,1531.44,0
12762.0,8,2,1898.52,0
12763.0,138,2,494.08,0
12764.0,317,1,1693.88,1
12766.0,4,7,6989.63,0
12769.0,239,1,1143.6,1
12770.0,211,1,1351.45,1
12772.0,60,1,892.47,0
12775.0,17,5,1386.04,0
12778.0,20,6,822.23,0
12779.0,38,8,3981.36,0
12781.0,64,2,826.74,0
12782.0,5,5,2330.92,0
12783.0,2,6,2225.91,0
12784.0,9,2,574.42,0
12785.0,364,1,311.95,1
12787.0,10,3,463.66,0
12789.0,65,1,91.85,0
12790.0,192,1,324.92,1
12791.0,374,1,192.60000000000002,1
12792.0,257,1,400.53999999999996,1
12793.0,335,2,545.48,1
12794.0,53,2,860.41,0
12795.0,19,1,430.48,0
12797.0,366,1,254.03,1
12798.0,10,3,6977.04,0
12802.0,187,1,427.58,1
12808.0,37,3,483.65000000000003,0
12809.0,178,1,489.31,1
12811.0,261,3,514.85,1
12812.0,45,1,229.64000000000001,0
12814.0,102,1,125.92,0
12815.0,148,2,1063.46,1
12816.0,96,2,572.2,0
12817.0,281,1,166.04,1
12818.0,262,1,1542.08,1
12820.0,3,4,942.34,0
12821.0,214,1,92.72,1
12822.0,71,2,948.88,0
12823.0,75,5,1759.5,0
12824.0,60,1,397.12,0
12826.0,3,7,1474.72,0
12827.0,6,3,430.15000000000003,0
12828.0,3,6,1018.71,0
12829.0,337,2,293.0,1
12830.0,38,6,6814.64,0
12831.0,262,1,215.05,1
12832.0,32,2,383.03,0
12833.0,145,1,417.38,1
12834.0,283,1,312.38,1
12836.0,59,4,2612.86,0
12837.0,173,1,134.1,1
12838.0,34,2,683.13,0
12839.0,3,14,5591.42,3
12840.0,144,4,2726.77,0
12841.0,5,25,4022.35,3
12842.0,70,2,1118.99,0
12843.0,66,8,1702.26,0
12844.0,29,2,325.96000000000004,0
12845.0,267,4,354.09,1
12847.0,22,1,871.54,0
12849.0,31,2,1050.8899999999999,0
12851.0,97,1,135.18,0
12852.0,295,1,311.55,1
12853.0,135,6,1957.1000000000001,0
